vcs_url,rename_parameter,rename_method,extract_and_move_method,rename_variable,extract_method,change_variable_type,change_return_type,extract_attribute,rename_class,extract_variable,move_class,inline_variable,extract_superclass,pull_up_method,move_and_rename_class,parametrize_variable,inline_method,extract_class,move_method,rename_attribute,move_attribute,split_attribute,replace_variable_with_attribute,pull_up_attribute,push_down_method,extract_interface,extract_subclass,merge_attribute,move_and_rename_attribute,merge_parameter,merge_variable,replace_attribute,push_down_attribute,split_parameter,split_variable
https://github.com/apache/struts.git,3,72,10,36,44,239,19,15,39,38,338,3,2,,3,2,3,,26,6,1,,13,1,1,3,,,,,,,,,
https://github.com/apache/pig.git,57,163,133,374,443,827,58,27,23,94,8,1,5,52,2,122,53,14,113,15,35,,11,216,4,,1,,,,8,1,,,
https://github.com/apache/falcon.git,41,183,43,146,90,144,29,33,21,77,50,13,5,20,6,5,16,6,51,49,36,,5,18,,,,,2,,,6,,,
https://github.com/apache/xerces2-j.git,4,4,1,2,3,27,7,4,2,1,1,,,,2,,,,,3,2,,2,,,,,,,,,,,,
https://github.com/apache/tez.git,60,118,256,144,126,542,52,78,38,64,15,2,1,10,9,2,3,7,26,40,51,1,17,6,2,,,1,,5,2,,3,,
https://github.com/apache/storm.git,47,141,20,125,115,487,101,138,37,66,138,,6,4,5,8,30,17,86,28,56,,11,13,4,1,,,,,4,,1,,
https://github.com/apache/flume.git,12,53,50,82,140,117,25,17,36,31,9,15,3,9,2,3,5,14,80,18,9,,1,11,,,,,,,,,,,
https://github.com/apache/nifi.git,27,131,6,119,225,301,139,21,49,51,33,1,12,56,9,7,7,17,77,46,13,,16,53,4,,,,,1,,,1,,
https://github.com/apache/commons-imaging.git,2,11,1,11,6,164,31,4,5,4,137,2,2,4,,,1,1,7,,1,,1,2,,1,,,,,,,,,
https://github.com/apache/derby.git,118,534,80,139,440,621,109,138,20,201,30,13,15,114,,11,29,17,176,60,42,1,9,88,8,,1,,,,3,,,,
https://github.com/apache/pdfbox.git,32,46,31,61,32,132,20,27,7,41,17,1,4,1,,3,9,,2,12,2,2,10,,,,,,,,,,,,
https://github.com/apache/ranger.git,7,211,,113,59,214,31,3,15,26,16,1,,,4,,,,2,16,5,1,8,,,,,2,,,3,,,,
https://github.com/apache/directory-fortress-core.git,2,6,13,7,3,75,20,8,1,13,168,1,,,,,1,,,33,7,,,,,,,,,,,,,,
https://github.com/apache/phoenix.git,19,65,57,222,229,304,90,20,66,74,94,2,20,136,11,,10,8,114,10,43,,20,124,5,,,,,,,,4,,3
https://github.com/apache/helix.git,144,222,43,371,207,807,89,84,73,78,191,10,14,27,27,26,6,1,37,49,84,,19,62,1,,,,1,3,4,3,18,1,
https://github.com/apache/jena.git,98,396,47,88,109,259,71,100,109,50,946,5,17,111,34,3,7,15,133,27,65,,3,12,3,,,,1,,,,,,
https://github.com/apache/httpcomponents-client.git,27,112,28,346,73,1604,67,108,34,34,233,11,6,79,6,6,26,10,87,40,44,11,19,36,,,,3,1,,,,1,,
https://github.com/apache/httpcomponents-core.git,107,147,21,660,98,1485,87,120,85,41,164,2,2,9,15,1,61,10,113,48,21,,10,2,1,,1,,,9,,,3,,5
https://github.com/apache/streams.git,3,47,,54,1,115,3,2,53,3,25,2,,,5,,1,2,1,3,4,,1,,,,,,,,,,,,
https://github.com/apache/samza.git,65,130,12,410,58,727,70,60,49,155,62,23,7,12,20,2,24,5,17,51,40,2,12,19,,,,,,,17,,1,,
https://github.com/apache/roller.git,6,67,31,15,3,301,20,6,10,10,68,7,1,1,4,,8,1,14,3,1,,4,,15,,1,,,,,,,,
https://github.com/apache/mina-sshd.git,10,69,98,53,48,189,45,37,10,109,40,1,6,53,3,3,,3,14,3,,,2,27,,,,,,,,,1,,
https://github.com/apache/bigtop.git,1,3,,6,6,21,3,2,,5,47,,3,6,,,,,2,2,,,,12,,,,,,,,,,,
https://github.com/apache/jackrabbit.git,37,172,116,249,131,685,106,61,42,103,187,29,18,42,6,20,2,9,101,32,44,,22,55,44,1,3,4,,,1,,11,,3
https://github.com/apache/oozie.git,16,187,23,233,442,231,60,14,29,104,8,5,3,38,3,81,34,11,38,14,48,,2,1,3,,1,,1,,,,3,,
https://github.com/apache/activemq.git,46,340,40,119,432,874,92,35,53,92,269,4,34,176,7,26,11,13,81,65,107,1,9,81,31,1,3,,1,,1,,2,,
https://github.com/apache/maven.git,16,114,25,50,110,163,35,11,16,26,22,3,8,21,8,4,2,2,3,6,8,,4,4,1,,,,,4,,,1,,
https://github.com/apache/openjpa.git,18,226,7,129,132,751,45,44,41,52,5,2,16,80,2,,19,3,39,38,21,,,22,4,1,1,,,,,,2,,
https://github.com/apache/directory-kerby.git,12,54,9,33,10,97,17,10,60,8,98,1,3,14,7,1,,4,19,15,11,,3,15,2,,,,1,,,,,,
https://github.com/apache/curator.git,47,64,21,98,40,131,81,60,34,17,75,,8,21,21,2,10,18,52,26,12,,2,9,3,,,1,,,,,,,
https://github.com/apache/cxf-fediz.git,18,46,4,91,120,210,10,9,5,11,8,8,8,65,2,4,1,10,48,31,34,,,7,,,,,,,2,,,,
https://github.com/apache/freemarker.git,52,299,71,175,165,460,63,59,74,47,346,14,5,3,17,1,5,7,60,37,10,1,10,2,,,,,,,1,,,1,2
https://github.com/apache/fineract.git,35,40,9,26,56,90,46,19,7,30,162,,,,,1,2,2,16,38,13,1,8,,,,,,,,,,,,
https://github.com/apache/directory-studio.git,3,50,17,30,36,305,3,7,2,13,3,1,2,18,,,1,4,44,12,4,,1,2,,,,,,,,,,,
